filename,relative_path,split,label,frame_id,sequence_id_provisional,camera_group,camera_group_size,camera_group_confidence,grouping_method,camera_group_v1,camera_group_v2_manual_merge,camera_group_v2_merge_reason,enabled_for_cv
00000.jpg,训练集/00000.jpg,train,有漂浮物,0,file_block_0000,camera_group_v2_0001,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0001,no,,yes
00002.jpg,训练集/00002.jpg,train,有漂浮物,2,file_block_0001,camera_group_v2_0002,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0002,no,,yes
00003.jpg,训练集/00003.jpg,train,有漂浮物,3,file_block_0001,camera_group_v2_0003,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0003,no,,yes
00004.jpg,训练集/00004.jpg,train,有漂浮物,4,file_block_0001,camera_group_v2_0004,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0004,no,,yes
00005.jpg,训练集/00005.jpg,train,有漂浮物,5,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00006.jpg,训练集/00006.jpg,train,有漂浮物,6,file_block_0001,camera_group_v2_0006,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0006,no,,yes
00007.jpg,训练集/00007.jpg,train,有漂浮物,7,file_block_0001,camera_group_v2_0007,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0007,no,,yes
00008.jpg,训练集/00008.jpg,train,有漂浮物,8,file_block_0001,camera_group_v2_0008,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0008,no,,yes
00009.jpg,训练集/00009.jpg,train,有漂浮物,9,file_block_0001,camera_group_v2_0009,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0009,no,,yes
00010.jpg,训练集/00010.jpg,train,有漂浮物,10,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00011.jpg,训练集/00011.jpg,train,有漂浮物,11,file_block_0001,camera_group_v2_0010,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0010,no,,yes
00012.jpg,训练集/00012.jpg,train,有漂浮物,12,file_block_0001,camera_group_v2_0011,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0011,no,,yes
00013.jpg,训练集/00013.jpg,train,有漂浮物,13,file_block_0001,camera_group_v2_0012,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0012,no,,yes
00014.jpg,训练集/00014.jpg,train,有漂浮物,14,file_block_0001,camera_group_v2_0013,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0013,no,,yes
00015.jpg,训练集/00015.jpg,train,有漂浮物,15,file_block_0001,camera_group_v2_0014,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0014,no,,yes
00016.jpg,训练集/00016.jpg,train,有漂浮物,16,file_block_0001,camera_group_v2_0015,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0015,no,,yes
00017.jpg,训练集/00017.jpg,train,有漂浮物,17,file_block_0001,camera_group_v2_0016,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0016,no,,yes
00018.jpg,训练集/00018.jpg,train,有漂浮物,18,file_block_0001,camera_group_v2_0017,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0017,no,,yes
00019.jpg,训练集/00019.jpg,train,有漂浮物,19,file_block_0001,camera_group_v2_0018,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0018,no,,yes
00020.jpg,训练集/00020.jpg,train,有漂浮物,20,file_block_0001,camera_group_v2_0019,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0019,no,,yes
00021.jpg,训练集/00021.jpg,train,有漂浮物,21,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00022.jpg,训练集/00022.jpg,train,有漂浮物,22,file_block_0001,camera_group_v2_0020,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0020,no,,yes
00023.jpg,训练集/00023.jpg,train,有漂浮物,23,file_block_0001,camera_group_v2_0021,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0021,no,,yes
00024.jpg,训练集/00024.jpg,train,有漂浮物,24,file_block_0001,camera_group_v2_0022,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0022,no,,yes
00025.jpg,训练集/00025.jpg,train,有漂浮物,25,file_block_0001,camera_group_v2_0023,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0023,no,,yes
00026.jpg,训练集/00026.jpg,train,有漂浮物,26,file_block_0001,camera_group_v2_0024,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0024,no,,yes
00027.jpg,训练集/00027.jpg,train,有漂浮物,27,file_block_0001,camera_group_v2_0025,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0025,no,,yes
00028.jpg,训练集/00028.jpg,train,有漂浮物,28,file_block_0001,camera_group_v2_0026,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0026,no,,yes
00029.jpg,训练集/00029.jpg,train,有漂浮物,29,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00030.jpg,训练集/00030.jpg,train,有漂浮物,30,file_block_0001,camera_group_v2_0027,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0027,no,,yes
00031.jpg,训练集/00031.jpg,train,有漂浮物,31,file_block_0001,camera_group_v2_0028,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0028,no,,yes
00032.jpg,训练集/00032.jpg,train,有漂浮物,32,file_block_0001,camera_group_v2_0029,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0029,no,,yes
00033.jpg,训练集/00033.jpg,train,正常,33,file_block_0001,camera_group_v2_0030,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0030,no,,yes
00034.jpg,训练集/00034.jpg,train,有漂浮物,34,file_block_0001,camera_group_v2_0031,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0031,no,,yes
