source,reason,original_groups,filenames
critical_findings.csv:00143.jpg~00214.jpg,几乎像素级重复/同一画面,camera_group_0113|camera_group_0177,00143.jpg|00214.jpg
critical_findings.csv:00634.jpg~00768.jpg,同一固定机位/高度近似画面,camera_group_0302|camera_group_0320,00634.jpg|00768.jpg|00769.jpg
critical_findings.csv:02083.jpg~02084.jpg,人工视觉确认同一固定高点机位,camera_group_0452|camera_group_0453,02083.jpg|02084.jpg
critical_findings.csv:02081.jpg~02082.jpg,人工视觉确认同一固定高点机位,camera_group_0450|camera_group_0451,02081.jpg|02082.jpg
critical_findings.csv:02097.jpg~02104.jpg,人工视觉确认02097–02111同一固定机位乱堆序列,camera_group_0459|camera_group_0460,02097.jpg|02098.jpg|02099.jpg|02100.jpg|02101.jpg|02102.jpg|02103.jpg|02104.jpg|02105.jpg|02106.jpg|02107.jpg|02108.jpg|02109.jpg|02111.jpg
critical_findings.csv:02104.jpg~02110.jpg,人工视觉确认02097–02111同一固定机位乱堆序列,camera_group_0460|camera_group_0461,02099.jpg|02100.jpg|02101.jpg|02102.jpg|02103.jpg|02104.jpg|02105.jpg|02106.jpg|02107.jpg|02108.jpg|02109.jpg|02110.jpg|02111.jpg
critical_findings.csv:00759.jpg~00760.jpg,同一坝体/水尺固定监控系列，当前拆成多个组,camera_group_0314|camera_group_0315,00759.jpg|00760.jpg
critical_findings.csv:02165.jpg~02166.jpg,人工视觉确认同一溪流固定机位序列,camera_group_0472|camera_group_0473,02163.jpg|02164.jpg|02165.jpg|02166.jpg|02167.jpg|02169.jpg
critical_findings.csv:02185.jpg~02186.jpg,人工视觉确认同一高点河道机位序列,camera_group_0482|camera_group_0483,02185.jpg|02186.jpg
critical_findings.csv:02212.jpg~02214.jpg,人工视觉确认同一桥侧/河道固定机位,camera_group_0497|camera_group_0498,02212.jpg|02213.jpg|02214.jpg
critical_findings.csv:02295.jpg~02296.jpg,人工视觉确认同一机位,camera_group_0511|camera_group_0512,02295.jpg|02296.jpg
critical_findings.csv:02300.jpg~02301.jpg,人工视觉确认同一河道机位,camera_group_0515|camera_group_0516,02299.jpg|02300.jpg|02301.jpg|02302.jpg
CAMERA_GROUP_V1_REVIEW.md:759-768,同一坝体/水尺固定监控系列，人工复核建议整体合并,camera_group_0314|camera_group_0315|camera_group_0316|camera_group_0317|camera_group_0318|camera_group_0319|camera_group_0320,00759.jpg|00760.jpg|00761.jpg|00762.jpg|00763.jpg|00764.jpg|00765.jpg|00766.jpg|00767.jpg|00768.jpg|00769.jpg
CAMERA_GROUP_V1_REVIEW.md:2097-2111,同一固定机位乱堆序列，人工复核明确应整体合并,camera_group_0459|camera_group_0460|camera_group_0461,02097.jpg|02098.jpg|02099.jpg|02100.jpg|02101.jpg|02102.jpg|02103.jpg|02104.jpg|02105.jpg|02106.jpg|02107.jpg|02108.jpg|02109.jpg|02110.jpg|02111.jpg
CAMERA_GROUP_V1_REVIEW.md:2163-2175,同一溪流固定机位测试序列，人工复核建议整体合并,camera_group_0472|camera_group_0473|camera_group_0474|camera_group_0475|camera_group_0476|camera_group_0477|camera_group_0478,02163.jpg|02164.jpg|02165.jpg|02166.jpg|02167.jpg|02168.jpg|02169.jpg|02170.jpg|02171.jpg|02172.jpg|02173.jpg|02174.jpg|02175.jpg
CAMERA_GROUP_V1_REVIEW.md:2185-2189,同一高点河道固定机位测试序列，人工复核建议整体合并,camera_group_0482|camera_group_0483|camera_group_0484|camera_group_0485|camera_group_0486,02185.jpg|02186.jpg|02187.jpg|02188.jpg|02189.jpg
CAMERA_GROUP_V1_REVIEW.md:2212-2214,同一桥侧/河道固定机位测试序列，人工复核建议整体合并,camera_group_0497|camera_group_0498,02212.jpg|02213.jpg|02214.jpg
CAMERA_GROUP_V1_REVIEW.md:2295-2296,同一固定机位测试序列，人工复核建议整体合并,camera_group_0511|camera_group_0512,02295.jpg|02296.jpg
CAMERA_GROUP_V1_REVIEW.md:2299-2302,同一河道固定机位测试序列，人工复核建议整体合并,camera_group_0515|camera_group_0516,02299.jpg|02300.jpg|02301.jpg|02302.jpg
