baseline,fold,accuracy,weighted_f1,macro_f1,miou
B0_all_floating,0,0.8964285714285715,0.8474710788270111,0.15756434400502198,0.1494047619047619
B1_train_prior_random,0,0.8,0.8075659313020984,0.15998071763916835,0.1410211129424692
B2_uniform_random,0,0.15357142857142858,0.24009913222241985,0.0727200247748193,0.04014201507639828
B0_all_floating,1,0.9027777777777778,0.8566504460665045,0.15815085158150852,0.15046296296296297
B1_train_prior_random,1,0.8263888888888888,0.8261494252873562,0.1742705570291777,0.1508433315945053
B2_uniform_random,1,0.16666666666666666,0.2589338063980944,0.07349022865898297,0.04104432134093151
B0_all_floating,2,0.8923611111111112,0.8416029561671764,0.15718654434250764,0.14872685185185186
B1_train_prior_random,2,0.7777777777777778,0.7857657115777194,0.17410323709536304,0.14556087187666136
B2_uniform_random,2,0.1527777777777778,0.24392601126472094,0.06569380440348183,0.036706599411517445
B0_all_floating,3,0.8939929328621908,0.8439560149781129,0.15733830845771143,0.14899882214369847
B1_train_prior_random,3,0.8056537102473498,0.8123121188016132,0.1980216471234435,0.16206004140786748
B2_uniform_random,3,0.18374558303886926,0.2731944152729787,0.09287094122946128,0.05157056021179863
B0_all_floating,global_oof,0.8964003511852502,0.8474303320001301,0.15756172839506175,0.14940005853087504
B1_train_prior_random,global_oof,0.8024582967515365,0.8083052479358578,0.175401932990778,0.14857159474365297
B2_uniform_random,global_oof,0.16417910447761194,0.25409449691803576,0.07603055816535996,0.042212213215793666
