filename,relative_path,split,label,frame_id,sequence_id,sequence_id_method,width,height,declared_width,declared_height,sha256,difference_hash,image_ok,size_mismatch,duplicate_group,training_use,training_exclusion_reason,review_status
00062.jpg,初赛测试集/00062.jpg,test,,62,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,52a7aca1f88238e33b0269019eb66c4b621a8df2012c2f6c61c445f367f91878,1bdfd8cbcf4b6961,True,False,,,,unlabeled
00167.jpg,初赛测试集/00167.jpg,test,,167,file_block_0001,filename_contiguous_block_provisional,4080,3060,,,092c22e80e393b93ea281ff1168f92ff063572a0b483097bebb6346d5acbb8e8,f0345d3f40e0acae,True,False,,,,unlabeled
00234.jpg,初赛测试集/00234.jpg,test,,234,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,3eb7a34756c94ce6f6f9399aaa87968c070b3fd6cfd313a276e5c8f84d54e143,303a3efdfbf3f1f1,True,False,,,,unlabeled
00235.jpg,初赛测试集/00235.jpg,test,,235,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,04c688fc17c1dfefd9a627aed78971b5f70ac42c3fb8fe4b8ba9b8edbf7904a4,692cee7b4a90d1eb,True,False,,,,unlabeled
00236.jpg,初赛测试集/00236.jpg,test,,236,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,58600dced8a4e89f691449ee89b14d46fcfafa0cfa50afc67e509be5793de097,b338242590d2c4c3,True,False,,,,unlabeled
00237.jpg,初赛测试集/00237.jpg,test,,237,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,3fd1a32711bb47f1a66879858a54765be0d17c3d0e3c8e1cf77340aa4e71c6cd,5b03171f47040e0b,True,False,,,,unlabeled
00238.jpg,初赛测试集/00238.jpg,test,,238,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,72f278e203219b6f09fd06a1a18a9e60295c546c04151ad33e1617e29ba33743,3ad08cc646c180a0,True,False,dup_0000,,,unlabeled
00239.jpg,初赛测试集/00239.jpg,test,,239,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,72f278e203219b6f09fd06a1a18a9e60295c546c04151ad33e1617e29ba33743,3ad08cc646c180a0,True,False,dup_0000,,,unlabeled
00240.jpg,初赛测试集/00240.jpg,test,,240,file_block_0001,filename_contiguous_block_provisional,4080,3060,,,4af19e51c6ad208122151e900d54eeebb862e200a8ce5708434130170f2f9fdc,1f7ff76c60283010,True,False,,,,unlabeled
00241.jpg,初赛测试集/00241.jpg,test,,241,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,1954f26fb1537f055357639cfd272f45936296adee0f7b21e2aec1af24eb45bc,0f8e86d35bd9981c,True,False,,,,unlabeled
00242.jpg,初赛测试集/00242.jpg,test,,242,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,778c337739f938263b3861c176239f2960c11eab9034da3804a241ebbd849710,f8fbb9e08111a23e,True,False,,,,unlabeled
00243.jpg,初赛测试集/00243.jpg,test,,243,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,ae9266c02498212653e5e88681c0b7dc44898613ded913de5a5e944de4075ef5,181f1f9bd0e46662,True,False,,,,unlabeled
00244.jpg,初赛测试集/00244.jpg,test,,244,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,e3535bba39249449a77edfa55184cc2582185ac4bfc4277892c0c0cd69e49e2f,975f84263770f0ec,True,False,,,,unlabeled
00245.jpg,初赛测试集/00245.jpg,test,,245,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,496f6404080182bac1e4cb476182043bd0d67402227fb2b2298665b417000087,00c0c70c8e83838e,True,False,,,,unlabeled
00246.jpg,初赛测试集/00246.jpg,test,,246,file_block_0001,filename_contiguous_block_provisional,4080,3060,,,8b33716943956115512f1778648e3d62e92eb724a3d19462101e25aa17dee24e,1f812101080e0300,True,False,,,,unlabeled
00247.jpg,初赛测试集/00247.jpg,test,,247,file_block_0001,filename_contiguous_block_provisional,4080,3060,,,cd04ed12acf714f8d71788adfb6bb222605c5481631a4e4f556c168536921aa6,00c3c7e7c7e3b1a3,True,False,,,,unlabeled
00248.jpg,初赛测试集/00248.jpg,test,,248,file_block_0001,filename_contiguous_block_provisional,4080,3060,,,ecc280b5dd445b6999549ccd4e1bf81d1858c5016401bd98f3e9ce6e4511bec7,c0c0e080902c2070,True,False,,,,unlabeled
00249.jpg,初赛测试集/00249.jpg,test,,249,file_block_0001,filename_contiguous_block_provisional,4080,3060,,,280daaa522280b55c1ddaba7a127789da173a0795c92d1b8c8a28ed60aa1fb6b,debcd898f87c3a49,True,False,,,,unlabeled
00250.jpg,初赛测试集/00250.jpg,test,,250,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,0140a86638b656d48d1ffac50eec5c15565c39f52048ecbe59ed96d0ff86ec65,fb7f78293d34353d,True,False,,,,unlabeled
00251.jpg,初赛测试集/00251.jpg,test,,251,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,d509c4b3f72d7f81ac52a5d863112748bcd54501f07291ffc63bcbb3f8611f8f,cffea7e4e6efc753,True,False,,,,unlabeled
00252.jpg,初赛测试集/00252.jpg,test,,252,file_block_0001,filename_contiguous_block_provisional,1706,1280,,,818419701c35623c1ac409df49ea451fc89d2bec2dfb721caaad1480b48050ae,78654f597979782c,True,False,,,,unlabeled
00253.jpg,初赛测试集/00253.jpg,test,,253,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,ba3b61d0148151c951b0b5bccc3ba0372205f6a52ceb35b424b923d4ed7ad024,71696fbfba3b9f8b,True,False,,,,unlabeled
00254.jpg,初赛测试集/00254.jpg,test,,254,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,875f004f5747edd400b561c1f7c3f13800bcd4bf8060ffc5773b837d3666a3d7,998cd84c4c647c79,True,False,,,,unlabeled
00255.jpg,初赛测试集/00255.jpg,test,,255,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,518d6e1a594f5714132733d6bec147472adce45ec0c155869989c781b1743f1b,f0faecfcfc5939e3,True,False,,,,unlabeled
00256.jpg,初赛测试集/00256.jpg,test,,256,file_block_0001,filename_contiguous_block_provisional,1706,1280,,,8967a85e94c1b9121833a93efdb217d4bcf76b768984042d4d892f0526a5123f,1edaf63e17161a39,True,False,,,,unlabeled
00257.jpg,初赛测试集/00257.jpg,test,,257,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,778eb251367ef7a6ba8c4e2b71d886a56a4b06b3c6538f0f86e7e91460adbc1a,c6e0bcf7f1f3e397,True,False,,,,unlabeled
00258.jpg,初赛测试集/00258.jpg,test,,258,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,6eda36e2cdeb3a84b6333d5e8c6112aac398f95ebca6e05c6ac343a629818378,0f0f0f0f9f97c7c7,True,False,,,,unlabeled
00259.jpg,初赛测试集/00259.jpg,test,,259,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,58878633c1c838b6012f3a3758134fec515d1d0c6eedb2cf0f5fbfa6cf962790,e5f1f8e0c0404070,True,False,,,,unlabeled
00260.jpg,初赛测试集/00260.jpg,test,,260,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,584c7fd1bd140d5302a975941423f0eb50513d57f5da8c500afb781368e68594,e7e3c2c2e78e1c3e,True,False,,,,unlabeled
00261.jpg,初赛测试集/00261.jpg,test,,261,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,f1ac53b9a7869777a862fda6d4cb5d45dfbd077d72c9289f3b360c2d1cac4cfc,83eb6ae611618d1d,True,False,,,,unlabeled
00262.jpg,初赛测试集/00262.jpg,test,,262,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,01bd6d85d4742e6a00aa30bb5389c8fa677336af5469bb649657db12adcf4fde,1c8f07c1896babc9,True,False,,,,unlabeled
00263.jpg,初赛测试集/00263.jpg,test,,263,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,4ac9c00716ab10110ec67cefd69e533b2d31bb6f73b77840a791341b762d7ac7,17d77f7228e48404,True,False,,,,unlabeled
00264.jpg,初赛测试集/00264.jpg,test,,264,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,94878d8fa38e578d120735ad94e5a75f68da43959243609658d44cea2600d614,0e6e7fdef67e7c4c,True,False,,,,unlabeled
00265.jpg,初赛测试集/00265.jpg,test,,265,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,a5ac4c27676a57b3331a49a3730f9513bd687f24e23d2b9fd75af8392d7504f4,1f19236265171695,True,False,,,,unlabeled
00266.jpg,初赛测试集/00266.jpg,test,,266,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,79460dd4bfc3d3f64256ed9b20a914ab627d5a456b93209fd7d427de9e176d79,1c1c1838fedef9f1,True,False,,,,unlabeled
00267.jpg,初赛测试集/00267.jpg,test,,267,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,a727d9341bc9a0a11c7580eb6d77a61edecb5d588b6f48c57aa590f9e3a5ba4c,0b0b82b08b939090,True,False,,,,unlabeled
00268.jpg,初赛测试集/00268.jpg,test,,268,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,9b02bdc3d466825f87414f58b58b7e08af7d4abf90adf33f93b791984bd27d76,41c1c1c1a1a0a0a0,True,False,,,,unlabeled
00269.jpg,初赛测试集/00269.jpg,test,,269,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,e348a9316eae315f64574246d0c9480f42a1f4763c85bf40e3a78a2fd4173822,1f3c3d12994c5790,True,False,,,,unlabeled
00270.jpg,初赛测试集/00270.jpg,test,,270,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,4ef487015ace0f76545d43f9d167e3338937e790c350b3ef31d69c119c53d335,2faa6bc78383e3d0,True,False,,,,unlabeled
00271.jpg,初赛测试集/00271.jpg,test,,271,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,52bf77cbe351c9ec4462f3f3d7b4eb1e7bfb7ba75b6551a4a80a6119f99c7b2c,18fef7d3e6e37621,True,False,,,,unlabeled
00272.jpg,初赛测试集/00272.jpg,test,,272,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,bc83d2d3a14b4657afd0545ad78489d79dab669eb03008decc4bee1360f44669,0612070f0e62f2e2,True,False,,,,unlabeled
00273.jpg,初赛测试集/00273.jpg,test,,273,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,fd6c9410d370687ec39e3c4fc8a67943099e3663b1fff72ca6630a5f3013b29a,74260743470103b3,True,False,,,,unlabeled
00274.jpg,初赛测试集/00274.jpg,test,,274,file_block_0001,filename_contiguous_block_provisional,1706,1279,,,938fbfe0c1f37f928fb98a3abdebd5ceed1d3d05b6247c7f43249e712048af7b,0fdfe7e6e6eedfe7,True,False,,,,unlabeled
