filename,relative_path,label,group_id,group_mode,fold
00000.jpg,训练集/00000.jpg,有漂浮物,dup_near_0000,duplicate_near,0
00002.jpg,训练集/00002.jpg,有漂浮物,dup_near_0001,duplicate_near,1
00003.jpg,训练集/00003.jpg,有漂浮物,dup_near_0002,duplicate_near,1
00004.jpg,训练集/00004.jpg,有漂浮物,dup_near_0003,duplicate_near,2
00005.jpg,训练集/00005.jpg,有漂浮物,dup_near_0004,duplicate_near,3
00006.jpg,训练集/00006.jpg,有漂浮物,dup_near_0005,duplicate_near,0
00007.jpg,训练集/00007.jpg,有漂浮物,dup_near_0006,duplicate_near,1
00008.jpg,训练集/00008.jpg,有漂浮物,dup_near_0007,duplicate_near,0
00009.jpg,训练集/00009.jpg,有漂浮物,dup_near_0008,duplicate_near,2
00010.jpg,训练集/00010.jpg,有漂浮物,dup_near_0009,duplicate_near,3
00011.jpg,训练集/00011.jpg,有漂浮物,dup_near_0010,duplicate_near,0
00012.jpg,训练集/00012.jpg,有漂浮物,dup_near_0011,duplicate_near,1
00013.jpg,训练集/00013.jpg,有漂浮物,dup_near_0012,duplicate_near,3
00014.jpg,训练集/00014.jpg,有漂浮物,dup_near_0013,duplicate_near,2
00015.jpg,训练集/00015.jpg,有漂浮物,dup_near_0014,duplicate_near,0
00016.jpg,训练集/00016.jpg,有漂浮物,dup_near_0015,duplicate_near,3
00017.jpg,训练集/00017.jpg,有漂浮物,dup_near_0016,duplicate_near,0
00018.jpg,训练集/00018.jpg,有漂浮物,dup_near_0017,duplicate_near,1
00019.jpg,训练集/00019.jpg,有漂浮物,dup_near_0018,duplicate_near,2
00020.jpg,训练集/00020.jpg,有漂浮物,dup_near_0019,duplicate_near,3
00021.jpg,训练集/00021.jpg,有漂浮物,dup_near_0020,duplicate_near,0
00022.jpg,训练集/00022.jpg,有漂浮物,dup_near_0021,duplicate_near,1
00023.jpg,训练集/00023.jpg,有漂浮物,dup_near_0022,duplicate_near,2
00024.jpg,训练集/00024.jpg,有漂浮物,dup_near_0023,duplicate_near,3
00025.jpg,训练集/00025.jpg,有漂浮物,dup_near_0024,duplicate_near,0
00026.jpg,训练集/00026.jpg,有漂浮物,dup_near_0025,duplicate_near,0
00027.jpg,训练集/00027.jpg,有漂浮物,dup_near_0026,duplicate_near,1
00028.jpg,训练集/00028.jpg,有漂浮物,dup_near_0027,duplicate_near,2
00029.jpg,训练集/00029.jpg,有漂浮物,dup_near_0028,duplicate_near,3
00030.jpg,训练集/00030.jpg,有漂浮物,dup_near_0029,duplicate_near,3
00031.jpg,训练集/00031.jpg,有漂浮物,dup_near_0030,duplicate_near,0
00032.jpg,训练集/00032.jpg,有漂浮物,dup_near_0031,duplicate_near,1
00033.jpg,训练集/00033.jpg,正常,dup_near_0032,duplicate_near,2
00034.jpg,训练集/00034.jpg,有漂浮物,dup_near_0033,duplicate_near,3
00035.jpg,训练集/00035.jpg,有漂浮物,dup_near_0034,duplicate_near,0
00036.jpg,训练集/00036.jpg,有漂浮物,dup_near_0035,duplicate_near,1
00037.jpg,训练集/00037.jpg,有漂浮物,dup_near_0036,duplicate_near,2
00038.jpg,训练集/00038.jpg,有漂浮物,dup_near_0037,duplicate_near,3
00039.jpg,训练集/00039.jpg,有漂浮物,dup_near_0038,duplicate_near,0
