left_filename,right_filename,left_path,right_path,left_split,right_split,left_label,right_label,hamming_distance
01272.jpg,01273.jpg,初赛测试集/01272.jpg,初赛测试集/01273.jpg,test,test,,,1
01276.jpg,01277.jpg,初赛测试集/01276.jpg,初赛测试集/01277.jpg,test,test,,,2
01279.jpg,01280.jpg,初赛测试集/01279.jpg,初赛测试集/01280.jpg,test,test,,,2
01280.jpg,01281.jpg,初赛测试集/01280.jpg,初赛测试集/01281.jpg,test,test,,,2
01285.jpg,01287.jpg,初赛测试集/01285.jpg,初赛测试集/01287.jpg,test,test,,,2
01327.jpg,01329.jpg,初赛测试集/01327.jpg,初赛测试集/01329.jpg,test,test,,,1
01328.jpg,01330.jpg,初赛测试集/01328.jpg,初赛测试集/01330.jpg,test,test,,,1
01384.jpg,01385.jpg,初赛测试集/01384.jpg,初赛测试集/01385.jpg,test,test,,,1
01391.jpg,01392.jpg,初赛测试集/01391.jpg,初赛测试集/01392.jpg,test,test,,,2
01412.jpg,01413.jpg,初赛测试集/01412.jpg,初赛测试集/01413.jpg,test,test,,,2
01413.jpg,01415.jpg,初赛测试集/01413.jpg,初赛测试集/01415.jpg,test,test,,,1
01414.jpg,01415.jpg,初赛测试集/01414.jpg,初赛测试集/01415.jpg,test,test,,,2
01420.jpg,01422.jpg,初赛测试集/01420.jpg,初赛测试集/01422.jpg,test,test,,,1
01429.jpg,01431.jpg,初赛测试集/01429.jpg,初赛测试集/01431.jpg,test,test,,,2
01430.jpg,01432.jpg,初赛测试集/01430.jpg,初赛测试集/01432.jpg,test,test,,,0
01432.jpg,01433.jpg,初赛测试集/01432.jpg,初赛测试集/01433.jpg,test,test,,,2
01432.jpg,01434.jpg,初赛测试集/01432.jpg,初赛测试集/01434.jpg,test,test,,,1
01433.jpg,01434.jpg,初赛测试集/01433.jpg,初赛测试集/01434.jpg,test,test,,,1
01433.jpg,01435.jpg,初赛测试集/01433.jpg,初赛测试集/01435.jpg,test,test,,,2
01435.jpg,01436.jpg,初赛测试集/01435.jpg,初赛测试集/01436.jpg,test,test,,,2
01439.jpg,01440.jpg,初赛测试集/01439.jpg,初赛测试集/01440.jpg,test,test,,,2
01441.jpg,01442.jpg,初赛测试集/01441.jpg,初赛测试集/01442.jpg,test,test,,,2
01461.jpg,01462.jpg,初赛测试集/01461.jpg,初赛测试集/01462.jpg,test,test,,,2
01463.jpg,01464.jpg,初赛测试集/01463.jpg,初赛测试集/01464.jpg,test,test,,,0
01464.jpg,01466.jpg,初赛测试集/01464.jpg,初赛测试集/01466.jpg,test,test,,,2
01465.jpg,01467.jpg,初赛测试集/01465.jpg,初赛测试集/01467.jpg,test,test,,,2
01466.jpg,01467.jpg,初赛测试集/01466.jpg,初赛测试集/01467.jpg,test,test,,,1
01471.jpg,01472.jpg,初赛测试集/01471.jpg,初赛测试集/01472.jpg,test,test,,,1
01471.jpg,01473.jpg,初赛测试集/01471.jpg,初赛测试集/01473.jpg,test,test,,,2
01473.jpg,01474.jpg,初赛测试集/01473.jpg,初赛测试集/01474.jpg,test,test,,,1
01478.jpg,01479.jpg,初赛测试集/01478.jpg,初赛测试集/01479.jpg,test,test,,,1
01479.jpg,01480.jpg,初赛测试集/01479.jpg,初赛测试集/01480.jpg,test,test,,,2
01481.jpg,01482.jpg,初赛测试集/01481.jpg,初赛测试集/01482.jpg,test,test,,,0
01481.jpg,01483.jpg,初赛测试集/01481.jpg,初赛测试集/01483.jpg,test,test,,,1
