filename,relative_path,label,frame_id,sequence_id,sha256,difference_hash,training_use,training_exclusion_reason
00000.jpg,训练集/00000.jpg,有漂浮物,0,file_block_0000,ff4bd057f41c3cd55361f855bbe4f0b2435b4729af5ddf6c92719b39c13a55da,6049ddf9684ea6ba,True,
00002.jpg,训练集/00002.jpg,有漂浮物,2,file_block_0001,3e8b67aa874205239acb396eaa6bd5ba0aaedb3f86a17d2b577fe589a5ea4255,435d5d5d4c3f39f8,True,
00003.jpg,训练集/00003.jpg,有漂浮物,3,file_block_0001,b28a7823625cd00c48bb3e1fe864716684f8f7848beaff7c6fd2c0c9a207fb7b,737372dbddcc8c08,True,
00004.jpg,训练集/00004.jpg,有漂浮物,4,file_block_0001,3ba7740734ae0cffb8b12e0fd207461ae39fe8c105e0a5327a7dc3881916e42d,ece5dfe7f2fefeff,True,
00005.jpg,训练集/00005.jpg,有漂浮物,5,file_block_0001,0a9b05287f35711f7c4138edd509735070244a885d5bcf25898d7e93df679836,f6cbcbe9c5b46ccd,True,
00006.jpg,训练集/00006.jpg,有漂浮物,6,file_block_0001,1c72b48cb02fc6fde62d1c95e41cf731f9c3c1fff59287bb2c50c8d1b386aae3,d9e2e1850c0e1c79,True,
00007.jpg,训练集/00007.jpg,有漂浮物,7,file_block_0001,d1db0533c08d0566386d39067e36d76a424a4a2286823bd1195fdd1123d3b5d3,19058ddd79797939,True,
00008.jpg,训练集/00008.jpg,有漂浮物,8,file_block_0001,9bb7802f4662522405013d7a65cc94de6127dae523df0687f4821a4bd390a877,0f0d0311250d3d3d,True,
00009.jpg,训练集/00009.jpg,有漂浮物,9,file_block_0001,648f6bfc8a4945a8b6f478076bb27959a71ce00d22a84b9bd838b6dcf1aa3ac9,1bed1319187be9c1,True,
00010.jpg,训练集/00010.jpg,有漂浮物,10,file_block_0001,e8305ed053efd120aa04b651d8b09758c3f1767b745c562a2fa40029c9134727,efffce0fc39c0f47,True,
00011.jpg,训练集/00011.jpg,有漂浮物,11,file_block_0001,2e3b2e37b407e64e2dffe6ab43689e44dbca19287239db55a1c30e25f2ed6919,4d4c52d01667cccc,True,
00012.jpg,训练集/00012.jpg,有漂浮物,12,file_block_0001,4d16f1f4c6c10763a59181d97b8cbe10e2ec326d08d1c5fc3e395dcfe53d1b31,070eccc72373e3a1,True,
00013.jpg,训练集/00013.jpg,有漂浮物,13,file_block_0001,b4b81200299b68b75a7e65fe950e91f1ac3c40b600edc2e3d8460d13b39ff956,99c862120b468d19,True,
00014.jpg,训练集/00014.jpg,有漂浮物,14,file_block_0001,18ec8147211788ef5825eadce8a29466fd1043703e6151f037f9a74e9e2efe33,0f03a320406868ea,True,
00015.jpg,训练集/00015.jpg,有漂浮物,15,file_block_0001,996b830389799b52efdb5f98e03f23f96b61a96b65f440778b2350605ace88ac,33b399b363430d6d,True,
00016.jpg,训练集/00016.jpg,有漂浮物,16,file_block_0001,ca2676cfe0b3e909ae7a59a1a963c40e5a83effaf2035b4cc2cde2e2386b43bc,438c959033b5d1f5,True,
00017.jpg,训练集/00017.jpg,有漂浮物,17,file_block_0001,860a0c603fa4d48d50999d4b5813caf7eea1a6d343ee04a348be53eac50588a4,c11b1b0c18272775,True,
00018.jpg,训练集/00018.jpg,有漂浮物,18,file_block_0001,82c4051b999fb04c76fa2d0cbd8c6d896473b5f4ed206dc7c5d79c1196bba001,0ffba766242c2d2c,True,
00019.jpg,训练集/00019.jpg,有漂浮物,19,file_block_0001,8b95d1d23ed6d1f36a23196e7bfad1bbc40d01e88ec5e3c3fcfb23a5024ff3f0,d872727263c38303,True,
00020.jpg,训练集/00020.jpg,有漂浮物,20,file_block_0001,71e7da7d19c97e945555b9dcd0b0e94b8e9d33a59b5cb4daba99d9bec3dad614,31538b82213cf616,True,
00021.jpg,训练集/00021.jpg,有漂浮物,21,file_block_0001,aa1aab225c5ba45276cf9f036d3a77414e6a01c381441864e891881aed3ab6a1,ffffffffcbc3b4c5,True,
00022.jpg,训练集/00022.jpg,有漂浮物,22,file_block_0001,ede7eb19442774fa1a5d261950c08459fc396b49dcfa9bf95ed89183a647c1d7,d2224303079c2c00,True,
00023.jpg,训练集/00023.jpg,有漂浮物,23,file_block_0001,be9d21bf2b0d4a1294708666e0fa1ead057b384e5b143105d7096de7f72fff89,3ffbecfc7cfef6ee,True,
00024.jpg,训练集/00024.jpg,有漂浮物,24,file_block_0001,61c5e4e98fb1768c70a4b4f5e0d78d1808ba3e879cd251df225d02ca00f34652,7607072220030606,True,
00025.jpg,训练集/00025.jpg,有漂浮物,25,file_block_0001,89cb762496858775fea165db4017518d60e23df7155eb258f7952ac43527e1c8,c2e0f1b0304200c0,True,
00026.jpg,训练集/00026.jpg,有漂浮物,26,file_block_0001,cf7b0ee0cedd1ccc20e0284c94d39d678e30165110a8b98f8cf95cfe0543b1ea,7078d8d8e1210000,True,
00027.jpg,训练集/00027.jpg,有漂浮物,27,file_block_0001,459ddb8a72d73fda28ccf6af4773ccc304b8e56797b89887ca74c119e3d1a698,b0bcbc4c64044090,True,
00028.jpg,训练集/00028.jpg,有漂浮物,28,file_block_0001,9f6aaea2d3ce389f94b31ca8ef4c439fdb66fbb20dbe06dd03ea3039d00b92ae,3efc6ee6fb9e8e2e,True,
00029.jpg,训练集/00029.jpg,有漂浮物,29,file_block_0001,317e171f85cafd828c1de2004456bf83ac262729008c3e0f8f77e6d5aaa008a1,c76e8ede7c3c0e87,True,
00030.jpg,训练集/00030.jpg,有漂浮物,30,file_block_0001,5a5389774cbec73ccbac5cc5d440fa06e97247863dc6f7beb2c7bd778d6c7fa4,313167f6b68ecde3,True,
00031.jpg,训练集/00031.jpg,有漂浮物,31,file_block_0001,18583efc5ad090d19e00b51cad6438a1267be336920dadff92ac5715a83cedc8,2577767e7cf9f9e4,True,
00032.jpg,训练集/00032.jpg,有漂浮物,32,file_block_0001,4c7a495b537b5d9f72478add67182924cb7dbfaf182e72aec30ef8b1da3a0d16,cfdcf0691811cd86,True,
00033.jpg,训练集/00033.jpg,正常,33,file_block_0001,d06a54debe36872e10623798fb94b14d54eb968672b32f38d6f4be8ec1682aa7,1f9e40060f04c0d0,True,
00034.jpg,训练集/00034.jpg,有漂浮物,34,file_block_0001,cfa8c3c7d10d9bff26fc0bfd6a79f3bbf49e4ced03d0c8d933db1c7386131fec,b9363e1b133b199c,True,
00035.jpg,训练集/00035.jpg,有漂浮物,35,file_block_0001,d96b43f09203a52a1eb2f15ea4df6c39cd5d3c1edfb797918f91d5213ee9fa67,837f70dfcff797d7,True,
00036.jpg,训练集/00036.jpg,有漂浮物,36,file_block_0001,1f936f04235af61f29c5cf1720ebfde7bf342fdc7ed890a9362936b74fab1179,fd7ffef9ebfefafa,True,
00037.jpg,训练集/00037.jpg,有漂浮物,37,file_block_0001,ea913c6c96af02b9b44d886b3ca85153b0ac93942678f274bf48f2f9752a15a3,c0003f7f79dcf8f8,True,
00038.jpg,训练集/00038.jpg,有漂浮物,38,file_block_0001,56e063256c30b6958c06b1373a0cb2112aca6417f6d2c794d61c56fdb897c2d4,84806018ac286868,True,
00039.jpg,训练集/00039.jpg,有漂浮物,39,file_block_0001,0a6381b9267e0613c5dd31cd51b0c8812c06243b02c3b96653547b2839dcbdb0,cbc030188e262024,True,
00040.jpg,训练集/00040.jpg,有漂浮物,40,file_block_0001,d2d3759fcb23efd18c005e98b76204f37421315d26e696784022bc4def317895,83c7c68706061627,True,
00041.jpg,训练集/00041.jpg,有漂浮物,41,file_block_0001,fc2e97da77926c846dd22ca4c80d59dfddcd3894fbbf35ea4b64986eceaab58c,0301c29878a2a020,True,
00042.jpg,训练集/00042.jpg,有漂浮物,42,file_block_0001,fc2265abda4ce01f4ceccf9e4c77e689f23d0aedc424d4db64fdbcf758163cbd,7f7cfbfdf8f4e5f1,True,
00043.jpg,训练集/00043.jpg,有漂浮物,43,file_block_0001,2d89db202b47971149019748becd97a12a2fb2c955f238b16cd1de4e676b2476,fcff5f0fc7000010,True,
00044.jpg,训练集/00044.jpg,有漂浮物,44,file_block_0001,ef902f6456fbc5528871b192158d5f9b2c742485fbd38c60ba61da622946fee4,7b323a283f1d0280,True,
00045.jpg,训练集/00045.jpg,有漂浮物,45,file_block_0001,b6ad3ad6e037490886ab60da5bca550f0b38948ab23a8b759aebf47ca873b8b6,9f9fbaba8d9d8d0d,True,
00046.jpg,训练集/00046.jpg,有漂浮物,46,file_block_0001,8f3c173206734dccde9440f53a0e0a8910cf739aa07b012ffc4219b778e90c09,fffecc1a931c4f43,True,
00047.jpg,训练集/00047.jpg,有漂浮物,47,file_block_0001,eeada057c851495a8a38124a5b7bc3b58a6d458c9734f9d56fab362452cc98ba,3f7fffd7632d3c0c,True,
00048.jpg,训练集/00048.jpg,有漂浮物,48,file_block_0001,23389481eab25f838ff060c2bfc316d2090deb2d4cde01f756f58d6a3029a03d,030190cc0d66525a,True,
00049.jpg,训练集/00049.jpg,有漂浮物,49,file_block_0001,eb92553e71e9e9d2d36e2b27f845f7bd554358ee535c5cf827069e7a640b123a,90313370313a9cac,True,
00050.jpg,训练集/00050.jpg,有漂浮物,50,file_block_0001,015839cf56600eb0aa9ae661e8868049630554ad78c3e16f84db027524f0d342,e3f3fb7f7df8fde2,True,
00051.jpg,训练集/00051.jpg,有漂浮物,51,file_block_0001,d9ece263175fa894a63563e1150a034879c52e86fe81882cb96bbfcc3eb6b114,a065d67040c0c666,True,
00052.jpg,训练集/00052.jpg,有漂浮物,52,file_block_0001,5e0ca7c0e48d98404e77e1e9b810d06aaac38feda305ac1ef99af100bc26e9ab,b6ee9e995f0b080c,True,
00053.jpg,训练集/00053.jpg,有漂浮物,53,file_block_0001,ce089d2095044e1e1561f721f62c3158e0db504075c3e046f9e0065acb407805,9ff889441033acce,True,
00054.jpg,训练集/00054.jpg,有漂浮物,54,file_block_0001,2d1e4d4d9c138755faf71b1b64a71c4db71e3bae5449885220fc3a0b06fd3071,3bfb969431c2969f,True,
00055.jpg,训练集/00055.jpg,有漂浮物,55,file_block_0001,4d3d491da3af813093234aa14f014623ef535cf72b326231d6dfca598911e100,ff1d0d0402e8a232,True,
00056.jpg,训练集/00056.jpg,有漂浮物,56,file_block_0001,78d89076364dd1eceea17de5e348dfa5ed3dfe9dd96b346943cc6df99070ae38,0e8eae42627262a0,True,
00057.jpg,训练集/00057.jpg,有漂浮物,57,file_block_0001,72f8ce4b6c815e8e14ff0fc5f94145c86d6bbd46b1ef96d9bb8059bd8b578917,d03820717df7f6e6,True,
00058.jpg,训练集/00058.jpg,有漂浮物,58,file_block_0001,2a6049891f1f099d207cf3fa485ac72f2639e960756aea2bcd9aeca75e1e8f5b,6fcfdb99d99e67a8,True,
00059.jpg,训练集/00059.jpg,有漂浮物,59,file_block_0001,7d0236ec9e8f80020a1b1177a83655c3ccb70e9588b262ef9d5699ac555bf8cf,c64e4fc1ddcfe576,True,
00060.jpg,训练集/00060.jpg,有漂浮物,60,file_block_0001,e04ef9a7114319d6465191780e7391bec604dfeecb7d0ac3c582eb1c16375523,020e1e1ef6f676e6,True,
00061.jpg,训练集/00061.jpg,有漂浮物,61,file_block_0001,81b2a64b7307e5c6d45e76eda5d6aae0cb2b1bce62b557d3049be7dfb24a504f,bc38387017151010,True,
00063.jpg,训练集/00063.jpg,有漂浮物,63,file_block_0001,761733d342fbc42b2f25edd541bc118981e85bc9f5144f7b0d149f946ce5c03d,f4f767cc3dbfbfff,True,
00064.jpg,训练集/00064.jpg,正常,64,file_block_0001,d6632d37bcd52084ae054eb8c84cdf61a89d7cad164eaa668942b5e821a4cd27,0b2f1310dd037934,True,
00065.jpg,训练集/00065.jpg,有漂浮物,65,file_block_0001,fd20787e306d0a1243019dff41cc4adb778e0e381813942a7a2a00273e9e75a8,c9c86c6c2d332226,True,
