scenario,postprocess,alpha,margin,margin_trigger_count,n_oof,weighted_f1,mIoU,dump_f1,dump_precision,dump_recall,occupy_f1,floating_recall,delta_weighted_f1,delta_mIoU,delta_dump_f1,delta_dump_precision,delta_dump_recall,delta_occupy_f1,delta_floating_recall,pred_count_乱采,pred_count_乱建,pred_count_乱堆,pred_count_乱占,pred_count_有漂浮物,pred_count_正常
alpha_1,乱堆先验,1.0,,0,1139,0.9214427081074701,0.29382018479033406,0.3870967741935483,0.8571428571428571,0.25,0.7272727272727273,0.9980430528375733,-0.0071947310584754565,-0.03666311276613421,-0.21755438859714932,0.1729323308270676,-0.29166666666666663,-0.018489984591679498,0.001956947162426559,1,0,7,61,1070,0
alpha_1p5,乱堆先验,1.5,,0,1139,0.9282304285335299,0.32632925945459856,0.5945945945945945,0.8461538461538461,0.4583333333333333,0.7333333333333333,0.9980430528375733,-0.0004070106324156608,-0.004154038101869706,-0.010056568196103122,0.16194331983805665,-0.08333333333333331,-0.01242937853107351,0.001956947162426559,1,0,13,60,1065,0
alpha_2,乱堆先验,2.0,,0,1139,0.9294135785045764,0.33132652352164543,0.6153846153846154,0.8,0.5,0.7394957983193278,0.9980430528375733,0.0007761393386308546,0.0008432259651771634,0.01073345259391778,0.11578947368421055,-0.04166666666666663,-0.0062669135450790225,0.001956947162426559,1,0,15,59,1064,0
alpha_2p5,乱堆先验,2.5,,0,1139,0.9293690697155682,0.3344770541112004,0.6341463414634146,0.7647058823529411,0.5416666666666666,0.7394957983193278,0.99706457925636,0.0007316305496226638,0.0039937565547321086,0.029495178672717004,0.08049535603715163,0.0,-0.0062669135450790225,0.0009784735812132794,0,0,17,59,1063,0
alpha_3,乱堆先验,3.0,,0,1139,0.9286374391659455,0.33048329755646827,0.6046511627906976,0.6842105263157895,0.5416666666666666,0.7457627118644068,0.9960861056751468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19,58,1062,0
alpha_3p5,乱堆先验,3.5,,0,1139,0.927221968252581,0.32165834208087724,0.5652173913043478,0.5909090909090909,0.5416666666666666,0.735042735042735,0.9951076320939335,-0.0014154709133645804,-0.008824955475591034,-0.039433771486349856,-0.09330143540669855,0.0,-0.010719976821671806,-0.0009784735812132794,0,0,22,57,1060,0
alpha_4,乱堆先验,4.0,,0,1139,0.9251681746351257,0.31571747804142164,0.5306122448979592,0.52,0.5416666666666666,0.735042735042735,0.9921722113502935,-0.00346926453081986,-0.01476581951504663,-0.07403891789273842,-0.16421052631578947,0.0,-0.010719976821671806,-0.003913894324853229,0,0,25,57,1057,0
alpha_5,乱堆先验,5.0,,0,1139,0.9233068400581571,0.3057207130015801,0.5084745762711864,0.42857142857142855,0.625,0.7017543859649122,0.9892367906066536,-0.005330599107788436,-0.024762584554888167,-0.09617658651951122,-0.25563909774436094,0.08333333333333337,-0.04400832589949455,-0.006849315068493178,0,0,35,54,1050,0
alpha_6,乱堆先验,6.0,,0,1139,0.9220677014001128,0.30293618824742047,0.4918032786885246,0.40540540540540543,0.625,0.7017543859649122,0.987279843444227,-0.006569737765832695,-0.0275471093090478,-0.11284788410217306,-0.27880512091038406,0.08333333333333337,-0.04400832589949455,-0.008806262230919737,0,0,37,54,1048,0
alpha_2p5_margin_0p10,"alpha=2.5 后，若 alpha*p(乱堆) 比 max(p(乱占), p(乱采)) 小于 0.10，则改判为二者较大者",2.5,0.1,1,1139,0.9286495682273137,0.3285246731588195,0.6,0.75,0.5,0.7394957983193278,0.99706457925636,1.2129061368160166e-05,-0.001958624397648767,-0.0046511627906976605,0.06578947368421051,-0.04166666666666663,-0.0062669135450790225,0.0009784735812132794,1,0,16,59,1063,0
