filename,camera_group,frame_id,support_count,query_true_label,query_true_id,base_pred,base_pred_id,prior_0p0,prior_0p0_id,prior_0p05,prior_0p05_id,prior_0p1,prior_0p1_id,prior_0p2,prior_0p2_id,prior_0p3,prior_0p3_id
00050.jpg,camera_group_v2_0005,50,14,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00054.jpg,camera_group_v2_0005,54,14,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00058.jpg,camera_group_v2_0005,58,14,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00064.jpg,camera_group_v2_0005,64,14,正常,5,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00072.jpg,camera_group_v2_0005,72,14,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00074.jpg,camera_group_v2_0005,74,14,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00075.jpg,camera_group_v2_0005,75,14,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00092.jpg,camera_group_v2_0005,92,14,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00096.jpg,camera_group_v2_0005,96,14,正常,5,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00098.jpg,camera_group_v2_0005,98,14,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00140.jpg,camera_group_v2_0100,140,5,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00144.jpg,camera_group_v2_0100,144,5,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00171.jpg,camera_group_v2_0100,171,5,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00474.jpg,camera_group_v2_0283,474,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00475.jpg,camera_group_v2_0283,475,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00476.jpg,camera_group_v2_0283,476,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00477.jpg,camera_group_v2_0283,477,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00478.jpg,camera_group_v2_0283,478,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00479.jpg,camera_group_v2_0283,479,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00480.jpg,camera_group_v2_0283,480,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00481.jpg,camera_group_v2_0283,481,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00482.jpg,camera_group_v2_0283,482,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00483.jpg,camera_group_v2_0283,483,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00484.jpg,camera_group_v2_0283,484,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00485.jpg,camera_group_v2_0283,485,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00486.jpg,camera_group_v2_0283,486,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00487.jpg,camera_group_v2_0283,487,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00488.jpg,camera_group_v2_0283,488,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00489.jpg,camera_group_v2_0283,489,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
00490.jpg,camera_group_v2_0283,490,31,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4,有漂浮物,4
